groupId,artifactId
com.intellij,forms_rt
cn.songxinqiang,com.baidu.ueditor
org.eclipse.jetty,jetty-security
br.com.six2six,bfgex
logkit,logkit
com.xeiam.xchange,xchange-btce
commons-configuration,commons-configuration
org.apache.tomcat,tomcat-jasper
org.fenixedu,bennu-scheduler
ch.cyberduck,oauth
javax,javaee-web-api
com.authlete,authlete-java-common
tika-app,tika-app
org.graalvm.js,js
org.eclipse.aether,aether-transport-file
org.apache.curator,curator-client
com.comphenix.protocol,ProtocolLib
org.jboss.metadata,jboss-metadata-common
org.netbeans.api,org-openide-explorer
net.sf.proguard,proguard-anttask
com.google.code.gson,gson
com.google.oauth-client,google-oauth-client-jetty
net.oneandone.reflections8,reflections8
net.sf.jodreports,jodreports
org.glassfish.jaxb,jaxb-runtime
org.netbeans.api,org-netbeans-spi-navigator
de.dfki.mary,voice-dfki-ot-hsmm
org.ow2.asm,asm-commons
org.support-project,markedj
net.java.dev.msv,xsdlib
org.jenkins-ci.plugins,dashboard-view
ru.yandex.clickhouse,clickhouse-jdbc
com.sonymobile.tools.gerrit,gerrit-events
org.netbeans.tools,sigtest-maven-plugin
ch.iterate.spectralogic,ds3-sdk
io.github.toolfactory,narcissus
org.springframework.amqp,spring-amqp
com.twitter.elephantbird,elephant-bird-pig
org.primefaces.themes,all-themes
co.aikar,fastutil-lite
io.vlingo.xoom,xoom-common
org.netbeans.api,org-openide-text
com.alessiodp.parties,parties-api
org.noear.solon,solon-enjoy-web
org.aksw.simba.knowledgeextraction,commons
org.noear,sentinel-solon-plugin
org.aspectj,aspectjweaver
org.hibernate,hibernate-ehcache
com.sun.jersey,jersey-server
net.code-story,fluent
org.noear,solon.extend.sessionstate.redis
org.codehaus.xfire,xfire-java5
org.noear,solon.boot.undertow
net.sf.jung,jung-api
commons-jxpath,commons-jxpath
dnsjava,dnsjava
jaxen,jaxen
com.tinkerpop.rexster,rexster-core
org.apache.lucene,lucene-queryparser
org.junit.jupiter,junit-jupiter-api
ChessBoard,ChessBoard
args4j,args4j
javax.sip,jain-sip-ri
io.confluent,kafka-connect-storage-core
org.powermock.modules,powermock-module-junit4
org.lwjgl,lwjgl
com.googlecode.soundlibs,jlayer
com.github.davidmoten,junit-extras
com.twitter.common,stats-util
com.nukkitx.protocol,bedrock-v475
xmlpull,xmlpull
org.lmdbjava,lmdbjava-native-windows-x86_64
com.jcraft,jsch.agentproxy.sshj
com.kodedu.terminalfx,terminalfx
org.jpmml,pmml-model
org.apache.lucene,lucene-spellchecker
net.sourceforge.jexcelapi,jxl
cn.wildfirechat,common
junit-addons,junit-addons
de.bwaldvogel,liblinear
org.jmdns,jmdns
org.springframework.experimental,spring-native
commons-httpclient,commons-httpclient
org.mongodb,mongodb-driver-legacy
com.caucho,hessian
org.apache.tez,tez-common
org.bytedeco,openblas
io.norberg,auto-matter
io.github.classgraph,classgraph
tornado,tornado-runtime
org.noear,captcha-solon-plugin
org.apache.maven,maven-core
net.Indyuce,MMOCore
org.geysermc,core
com.aliyun,aliyun-java-sdk-slb
com.glazedlists,glazedlists
net.laoyeye.yyblog,qq-connect
com.janeluo,ikanalyzer
com.github.multiformats,java-multiaddr
org.jenkins-ci.plugins,apache-httpcomponents-client-4-api
com.nisovin.shopkeepers,ShopkeepersAPI
com.google.auto.value,auto-value
com.squareup.okio,okio
org.codelibs.fess,fess-crawler-lasta
com.beust,jcommander
de.ruedigermoeller,fst
org.netbeans.api,org-netbeans-swing-outline
opennlp-tools,custom
